Date,INFY.NS,TCS.NS,WIPRO.NS,TCS_Return,INFY_Return,WIPRO_Return
2014-04-01,426.8169860839844,1054.9466552734375,105.9170913696289,38.06346050574132,21.595680699239782,18.854496535285257
2015-04-01,480.2941589355469,1057.8289794921875,98.33040618896484,12.52929817583217,0.2732199021004522,-7.162852644988227
2016-04-01,412.0697021484375,1039.676513671875,90.42660522460938,-14.204723400824193,-1.7160113943018085,-8.038002964379576
2017-04-01,469.68994140625,1241.495849609375,99.24369049072266,13.983129300065912,19.41174329549151,9.750543265682321
2018-04-01,632.609375,1768.7725830078125,120.57862091064453,34.68659199002002,42.47108305390954,21.49751819428387
2019-04-01,570.77734375,1680.0977783203125,93.47817993164062,-9.774125027786695,-5.013352510061397,-22.475328357824598
2020-04-01,1247.0517578125,2957.091064453125,197.7043914794922,118.4830514854331,76.00708140983879,111.49790424254178
2021-04-01,1772.5244140625,3517.693603515625,283.4792175292969,42.137197029556425,18.95790582175312,43.38539240728099
2022-04-01,1356.0771484375,3113.397705078125,178.3046417236328,-23.4945855933534,-11.493209585776365,-37.10133558372565
2023-04-01,1460.43212890625,3820.962890625,235.37294006347656,7.695357199182218,22.72646325886336,32.00606433359039
2024-04-01,1856.4000244140625,3934.85009765625,308.1000061035156,27.11306384394334,2.980589194170924,30.898652164699
