Date,PERSISTENT.NS,PERSISTENT_Return,MPHASIS.NS,MPHASIS_Return
2014-04-01,357.15,36.12974538801645,385.4,-4.603960396039608
2015-04-01,381.08,6.700265994680099,491.8,27.607680332122484
2016-04-01,297.85,-21.840558412931653,579.9,17.91378609190728
2017-04-01,347.02,16.508309551787793,837.75,44.46456285566478
2018-04-01,314.77,-9.293412483430352,991.1,18.304983586988953
2019-04-01,275.48,-12.482129809066922,664.45,-32.95832912925033
2020-04-01,961.03,248.85654130971392,1776.5,167.36398525095942
2021-04-01,2382.65,147.92670364088534,3376.85,90.08443568815085
2022-04-01,2304.75,-3.2694688686966233,1795.75,-46.821742156151444
2023-04-01,3984.55,72.88426076580974,2388.05,32.983433105944606
2024-04-01,5710.3,43.31103888770376,2567.55,7.516593036159214
